gene,importance,deceased_avg_expression,survivors_avg_expression
CAT,0.000701604,0.073523447,0.239400308
CBFA2T2,0.000275476,0.024389164,0.112147968
CBLL1,0.000541743,0.021774167,0.097529921
CBX5,0.000222738,0.089573072,0.390323013
CC2D1B,6.92E-05,0.018352927,0.088094418
CCAR1,6.89E-05,0.046504136,0.212307077
CCAR2,0.000589103,0.038195939,0.185304515
CCDC47,0.00027723,0.074254054,0.344757708
CCDC50,0.002937815,0.046659915,0.163811477
CCDC59,0.000149782,0.012416479,0.054512505
CCDC90B,0.000207446,0.019295641,0.077627589
CCDC92,1.75E-05,0.025203698,0.113332929
CCM2,0.000310074,0.024891809,0.11422767
CCNC,0.000457141,0.029033738,0.122404847
CCNG2,0,0.067308905,0.309755224
CCNL1,0.001051866,0.046598326,0.173886746
CCNL2,0.00049433,0.046567954,0.217227693
CCNT1,0.000603851,0.02728302,0.117366568
CCNT2,0.000318014,0.025341432,0.106687044
CCNY,0.00043068,0.055453624,0.222572676
CCSER2,0.000121682,0.036926928,0.142440574
CCT4,0.000177803,0.073528969,0.3277877
CCT7,0.000544331,0.131808818,0.612994978
CCT8,0.000138824,0.096987925,0.437954626
CD151,6.27E-05,0.131986434,0.617752762
CD276,0.000164691,0.065394166,0.311510482
CD47,0.000202206,0.076745255,0.31765694
CD99L2,0.001068245,0.033338851,0.126913581
CDC16,0.001061546,0.042120219,0.176858227
CDC27,0,0.041665222,0.173749309
CDC37,0.000112888,0.065250178,0.316065812
CDC42,5.18E-05,0.147274956,0.67045477
CDC42SE1,0.000359761,0.081964279,0.353849376
CDC42SE2,0.000575934,0.036722511,0.154543736
CDC5L,0.000603227,0.039151829,0.184900237
CDC73,0.000468616,0.038040297,0.165076023
CDIPT,0.000501506,0.051926461,0.231597742
CDK13,0,0.038196358,0.172025594
CDK2,0.000320316,0.015101989,0.070040389
CDK2AP1,3.76E-05,0.085422244,0.394563397
CDK5RAP1,0.000255538,0.014973156,0.073253442
CDK5RAP2,0.000113705,0.041239939,0.188214823
CDK9,0.00015185,0.030256691,0.137122377
CDR2,0,0.024097202,0.110265086
CDS2,0.000326617,0.049074819,0.220103901
CEBPG,0.000302148,0.033629542,0.14903541
CELF1,0.000102303,0.072227556,0.328775274
CEP104,0.000422943,0.023126492,0.096713102
CEP350,7.06E-05,0.049047624,0.228588464
CEP57,0.000282193,0.016911197,0.0679263
CEP63,0.000191281,0.016922128,0.073154425
CEP68,0.001768047,0.024327877,0.085657236
CEP89,9.54E-05,0.019985714,0.094965599
CERS5,0.000402337,0.024710928,0.116776596
CERT1,0.00574939,0.031028404,0.119441009
CETN2,0.000242552,0.03857144,0.185204956
CFAP36,0.000599456,0.021682865,0.098598819
CFLAR,0.001019318,0.056900394,0.213534439
CGGBP1,0.000905267,0.059605674,0.250264742
CHCHD3,0,0.026189708,0.122932327
CHD1,7.52E-05,0.036971576,0.170072296
CHD2,0,0.056652682,0.253878928
CHD3,0.000468263,0.103999018,0.499303955
CHD6,0.000171599,0.052982857,0.235133923
CHD8,5.23E-05,0.058471774,0.274195627
CHMP1B,0.000203052,0.025576664,0.108832684
CHMP2B,0.000203977,0.033087403,0.136364903
CHMP3,0.001816143,0.054268411,0.213077908
CHMP4B,0.00013121,0.098209137,0.485136627
CHMP5,0.000330478,0.042861132,0.19813458
CHMP7,0.000518256,0.027385679,0.127301072
CHP1,0,0.077716292,0.314551931
CHPF2,0,0.034728888,0.16405215
CHSY1,0.000248574,0.050480198,0.213997549
CHTOP,0.000496851,0.047590649,0.224980303
CIAO1,0.000491282,0.051354774,0.23208741
CIAO2A,0.001027546,0.019034594,0.092092489
CILK1,0.000248727,0.026410685,0.109990438
CIR1,0.000555747,0.025433357,0.111841669
CITED2,0.000526285,0.056332775,0.234745776
CIZ1,0.000221229,0.050576896,0.226378943
CKAP4,0.000111744,0.079882533,0.380478874
CKAP5,0.001193396,0.089897599,0.412687256
CLASP1,6.20E-05,0.037031299,0.161536553
CLASP2,0,0.031815227,0.140505265
CLCN3,6.61E-05,0.065894267,0.28792547
CLDN12,0.000223474,0.027919152,0.121193187
CLDND1,0.000420659,0.026835929,0.108030532
CLEC16A,0.000159119,0.022043534,0.101670726
CLIC1,0.000146065,0.164811022,0.785700452
CLINT1,0.00041855,0.049860824,0.218209836
CLIP1,0.000930752,0.058412318,0.258307602
CLK1,0.000369932,0.04788194,0.189035161
CLK2,0.000593568,0.024587105,0.118279023
CLK3,3.86E-05,0.02432922,0.108697596
CLOCK,0.0002276,0.032808936,0.137014268
CLPTM1,0.000317349,0.077961546,0.382649418
CLPX,0.00053885,0.028585667,0.123717039
CLTA,0.000367693,0.05764353,0.289627134
CMIP,0.000211532,0.034925523,0.159363188
CMPK1,0.000405995,0.094597707,0.384643428
CMSS1,0.000176441,0.01426205,0.064957224
CMTM3,0.00069431,0.033752842,0.153449034
CMTM6,0.000711141,0.064772131,0.298915142
CMTR1,0,0.033198619,0.156678719
CNDP2,0.000109478,0.10639641,0.503739712
CNIH1,9.93E-05,0.047232625,0.200001853
CNN2,0.001185957,0.069897053,0.306054319
CNNM3,0.000412351,0.021893998,0.10083836
CNOT10,0.000148804,0.017231661,0.081220196
CNOT11,0.000229093,0.031521625,0.144203085
CNOT2,0.000445285,0.042194367,0.194162649
CNOT4,0,0.016718293,0.07166279
CNOT6,0.000764576,0.037578557,0.16233993
CNOT6L,9.45E-05,0.034968581,0.147134038
CNOT7,0.000272467,0.046944944,0.209357824
CNOT8,0.000258367,0.038530778,0.168864416
CNOT9,0.000477,0.032937923,0.153469836
CNP,0,0.056864794,0.275980025
COA1,0.000666151,0.021008599,0.095497414
COA5,0.000344477,0.015104385,0.066076106
COG1,0.000699699,0.018236924,0.085136674
COG3,0.000266214,0.020068753,0.086160008
COG4,0.000418135,0.030605428,0.136434714
COIL,0,0.016035673,0.073593603
COLGALT1,0.000149264,0.068910005,0.331149704
COMMD2,0.00039672,0.021444178,0.09202096
COMT,0.00048879,0.048710828,0.227095982
COP1,0.000255534,0.033517891,0.154227168
COPB1,0,0.09303294,0.449889311
COPB2,0.000814032,0.146621204,0.685417204
COPG2,0.000235775,0.025895234,0.120972501
COPS5,0.000210245,0.027701187,0.128760842
COPS6,6.96E-05,0.047865034,0.236163135
COPS7A,0.000288921,0.042427278,0.198209243
COPS7B,0.000463084,0.019804843,0.088088197
COPS8,0.000505569,0.033681976,0.14760315
COPZ1,0,0.106238257,0.496883474
COQ4,0,0.025633464,0.128071353
CORO1C,0.000295439,0.064124798,0.274617322
COX11,0.000232429,0.020042744,0.086551744
COX15,0.000128949,0.018494512,0.083462548
COX6B1,0,0.075558887,0.378926691
COX7A2,0.000239032,0.046801319,0.225133995
COX7A2L,0,0.05561495,0.246196404
COX7B,0.000233365,0.045576202,0.200967014
COX7C,0,0.092798478,0.444549033
CPSF1,0.000115366,0.054141538,0.24574476
CPSF2,0,0.037862001,0.180575076
CPSF3,7.99E-05,0.025464326,0.121656598
CPSF6,0.000146914,0.049523504,0.22553771
CPSF7,0.000343786,0.051648576,0.233633581
CPT1A,0.000374001,0.063515308,0.262404828
CRCP,0.000466278,0.025634685,0.115215905
CREB1,0.000559202,0.034814083,0.145317037
CREB3L2,0.000349428,0.083144085,0.344488892
CREBBP,0.000413693,0.076980078,0.342429124
CREBL2,0.000238787,0.047443909,0.190765391
CREBZF,0,0.036757129,0.156535036
CREG1,0.000349447,0.077810415,0.344395955
CRIPT,0.000154337,0.015651301,0.064135723
CRK,0.000784338,0.050431163,0.205847803
CRKL,0.000281457,0.052692123,0.241941075
CRNKL1,0.000552445,0.034506877,0.170543873
CRTAP,0.000353041,0.108027933,0.41402063
CRTC3,9.43E-05,0.032302151,0.13658388
CRY2,0.000603598,0.033399882,0.128567942
CS,0.000718074,0.100523049,0.41138177
CSK,6.23E-05,0.034996606,0.169907367
CSNK1A1,0.00093847,0.060935951,0.274672375
CSNK1D,0.00051082,0.068394085,0.332300937
CSNK1E,0.000121648,0.035334634,0.162444179
CSNK1G3,0.000132278,0.022781724,0.09718403
CSNK2A1,0,0.068578714,0.305296995
CSNK2A2,0.00025428,0.016382387,0.067553652
CSRNP2,0.000522637,0.031661315,0.144349707
CSTF1,5.32E-05,0.023329038,0.108168403
CTBP1,0.000136413,0.039283466,0.184795685
CTCF,0.000436499,0.040971238,0.184373428
CTDSP1,0.000594256,0.073102705,0.31930161
CTDSPL,8.08E-05,0.035945671,0.152431041
CTDSPL2,0.000360909,0.024073763,0.100925913
CTIF,0.000162146,0.029681725,0.111450101
CTNNA1,0.000498054,0.255948293,1.160824734
CTNNBL1,0.000361953,0.026888733,0.133162132
CTR9,0.001876608,0.044059761,0.197499967
CTSA,0.000488964,0.050969753,0.234040601
CTSC,0.000193314,0.051622704,0.258735663
CTSH,0.000333755,0.064255291,0.324000919
CTSL,0.00035536,0.053590378,0.24796408
CTSS,0.001032216,0.053089874,0.269532284
CUL1,0.000223684,0.045289776,0.196202581
CUL2,0.000656858,0.027157899,0.117746152
CUL4A,0.000217054,0.059493143,0.278121445
CUL4B,0.000530796,0.057945679,0.242469673
CUL5,0,0.022598394,0.093691791
CUL7,0.000110413,0.027806178,0.125945574
CUL9,0,0.018182793,0.087755666
CUTA,0.00023182,0.065831548,0.324823725
CUX1,0.000449265,0.056066036,0.25373538
CWC15,0.000791417,0.025966948,0.110924163
CWC22,0.001407656,0.017646332,0.0723786
CXCR4,0.000672097,0.043835958,0.225169832
CXorf38,0.000292311,0.015917514,0.067272073
CYB5B,0,0.035085231,0.151121486
CYB5R1,0.000152714,0.052363319,0.265506671
CYB5R3,0.001214216,0.127367726,0.471953814
CYBC1,0.000252081,0.035948258,0.186419147
CYCS,0.000370571,0.061018228,0.28058779
CYFIP1,0.000674988,0.095997716,0.420025552
CYLD,5.04E-05,0.035358377,0.147484375
CYP20A1,0.00037655,0.01923958,0.078438903
CYRIB,0.000273867,0.048117392,0.218311902
CYTH1,0.000810088,0.030281551,0.150839183
CYTH2,0.000459215,0.039412141,0.200586055
CZIB,0.000218153,0.016605423,0.072922403
DAD1,7.70E-05,0.068040998,0.317400603
DAG1,0,0.108185565,0.516809061
DAP,0.00014382,0.103713839,0.453634964
DAP3,0.000155142,0.079011885,0.384442291
DARS1,0.000100159,0.047558714,0.196289533
DAZAP1,0.000148415,0.049254596,0.23704898
DAZAP2,0.000672917,0.16156985,0.713835439
DBNL,0,0.059230313,0.28722477
DBT,0.000382352,0.020874508,0.089768297
DCAF11,0.000219177,0.042431463,0.211335373
DCAF12,0,0.045755788,0.202989831
DCAF13,7.08E-05,0.039092056,0.170573772
DCAF16,0.001166793,0.026365832,0.117870523
DCAF6,0,0.060970385,0.292803533
DCAF7,0.000443685,0.077226802,0.3764158
DCAF8,0.000517407,0.027943743,0.12732474
DCAKD,0.000364219,0.025659454,0.109974707
DCP2,0.000182892,0.029064255,0.136518937
DCTD,0.000309934,0.039701593,0.177403684
DCTN1,0.000579009,0.071684363,0.329881588
DCTN2,0.000857626,0.056676386,0.259358463
DCTN4,0.000264455,0.05566064,0.246682065
DCTN5,0.000290572,0.051689933,0.234402701
DCUN1D1,0.000454203,0.024532664,0.103631606
DCUN1D4,0.000114457,0.023544504,0.089940657
DDB1,0.001180385,0.17498882,0.838616291
DDI2,0.000296539,0.041289012,0.179419086
DDOST,0.000274072,0.115237805,0.529054417
DDX1,0.000277817,0.070509943,0.310320454
DDX10,0.000174513,0.017354134,0.077484683
DDX18,0.000210226,0.051355927,0.22272101
DDX20,7.16E-05,0.01319261,0.060097859
DDX21,0.000529914,0.07380909,0.304565212
DDX23,0.000380402,0.066936512,0.323401594
DDX24,0.000124218,0.084285641,0.374932991
DDX27,0.000765608,0.029163465,0.141200149
DDX31,0,0.011465458,0.053510601
DDX3X,0.002045108,0.234156122,0.904057013
DDX42,0,0.088109283,0.406132238
DDX46,5.77E-05,0.042954146,0.194538386
DDX50,0.00014453,0.026788309,0.113338405
DDX56,0,0.040576261,0.190046369
DDX58,0.000370382,0.03720693,0.166254998
DDX6,0.000730964,0.108792524,0.466485936
DEDD,0.000412199,0.020379661,0.088436679
DELE1,0.00031295,0.033189633,0.138516883
DENND1A,0.000359671,0.01660918,0.075511977
DENND4B,0.000380019,0.025184903,0.11594274
DENND5A,0.000182599,0.042875441,0.18247043
DENND6A,7.06E-05,0.020417724,0.084843958
DENR,0.001143807,0.049115381,0.223690432
DERL1,0,0.070915057,0.290680009
DERL2,0.000414848,0.023198779,0.10335843
DESI1,0.000384809,0.023705995,0.102889618
DESI2,0.000113916,0.039208202,0.178200075
DFFA,0.000187014,0.025775536,0.110390717
DGCR2,0,0.07428484,0.343859994
DGCR8,0.000374406,0.015574849,0.072361723
DGKD,0.000304384,0.02780724,0.12849418
DGKZ,0.00027203,0.038034837,0.185241311
DHDDS,0.001147314,0.025833543,0.104208384
DHTKD1,0.00037314,0.04018355,0.195441957
DHX15,0.000421235,0.082247017,0.365455268
DHX16,0.000157237,0.024752142,0.1141474
DHX29,7.19E-05,0.031724173,0.142974852
DHX30,0.000271538,0.042073615,0.209695447
DHX36,0,0.034067313,0.14817992
DHX57,0.000402602,0.017096887,0.075399004
DHX8,0.000953465,0.037296888,0.173655743
DHX9,0.000287235,0.125213541,0.576140233
DIAPH1,0.000288549,0.082099243,0.368907909
DICER1,0.000141184,0.051328811,0.226962528
DIDO1,0.000623744,0.053261721,0.250396235
DIP2A,0,0.023573461,0.102776008
DIP2B,0.000371078,0.043822393,0.194320708
DIS3,7.54E-05,0.031486688,0.126996772
DIS3L,7.29E-05,0.021639493,0.094904482
DIS3L2,0.000216571,0.012326534,0.056480527
